ID,Location
12,SPARTAN - IIT Kanpur
13,"Delhi Technological University, Delhi - CPCB"
15,IGI Airport
16,Civil Lines
17,"R K Puram, Delhi - DPCC"
50,"Punjabi Bagh, Delhi - DPCC"
103,"Income Tax Office, Delhi - CPCB"
235,"Anand Vihar, New Delhi - DPCC"
236,"Mandir Marg, Delhi - DPCC"
286,Collectorate - Gaya - BSPCB
301,"Vikas Sadan, Gurugram - HSPCB"
346,"MD University, Rohtak - HSPCB"
354,"Lalbagh, DN Park"
378,Alandur Bus Depot
407,"Zoo Park, Hyderabad - TSPCB"
412,"Peenya, Bengaluru - KSPCB"
431,"IHBAS, Delhi - CPCB"
594,"BTM Layout, Bengaluru - KSPCB"
697,"Haldia, Haldia - WBPCB"
703,Collectorate Jodhpur - RSPCB
716,"Rabindra Bharati University, Kolkata - WBSPCB"
797,City Railway Station - KSPCB
854,Chandrapur
860,"Sanjay Palace, Agra - UPPCB"
910,Victoria Memorial - WBSPCB
985,Collectorate - Muzaffarpur - BSPCB
2345,VK Industrial Area Jaipur - RSPCB
2456,"Talkatora District Industries Center, Lucknow - CPCB"
2459,US Diplomatic Post: Hyderabad
2460,US Diplomatic Post: Kolkata
2461,US Diplomatic Post: Chennai
2463,Central School
2503,"Shadipur, Delhi - CPCB"
2549,IIT
2583,"Sector-6, Panchkula - HSPCB "
2585,AAQMS Karve Road Pune
2586,"Manali, Chennai - CPCB"
2587,"Sector16A, Faridabad - HSPCB"
2589,SaneguravaHalli - KSPCB
2591,Ardhali Bazar
2592,"BWSSB Kadabesanahalli, Bengaluru - KSPCB"
2593,IGSC Planetarium Complex - Patna - BSPCB
2594,"Sanathnagar, Hyderabad - TSPCB"
2595,Nehru Nagar
2596,"Solapur, Solapur - MPCB"
2597,US Diplomatic Post: New Delhi
2598,Navi Mumbai Municipal Corporation Airoli
5404,"Pusa, Delhi - IMD"
5408,"Secretariat, Amaravati - APPCB"
5443,"Mahakaleshwar Temple, Ujjain - MPPCB"
5505,"Birla Staff colony, Satna - MPPCB"
5509,"Anand Vihar, Delhi - DPCC"
5540,"Punjabi Bagh, Delhi - DPCC"
5541,"Burari Crossing, New Delhi - IMD"
5542,"Civil Line, Jalandhar - PPCB"
5544,"Model Town, Patiala - PPCB"
5546,Tata Stadium - Jorapokhar - JSPCB
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
5548,"BTM Layout, Bengaluru - CPCB"
5551,"Golden Temple, Amritsar - PPCB"
5552,"MD University, Rohtak - HSPCB"
5558,"Alandur Bus Depot, Chennai - CPCB"
5559,"Collectorate, Gaya - BSPCB"
5565,"MIDC Khutala, Chandrapur - MPCB"
5566,"Talcher Coalfields,Talcher - OSPCB"
5569,"Punjab Agricultural University, Ludhiana - PPCB"
5570,"Aya Nagar, New Delhi - IMD"
5574,"City Railway Station, Bengaluru - KSPCB"
5576,"Moti Doongri, Alwar - RSPCB"
5581,"Pusa, New Delhi - IMD"
5585,"Ashok Nagar, Udaipur - RSPCB"
5586,"Sirifort, Delhi - CPCB"
5587,"Collectorate, Jodhpur - RSPCB"
5588,"RIICO Ind. Area III, Bhiwadi - RSPCB"
5590,"Ardhali Bazar, Varanasi - UPPCB"
5592,"Gangapur Road, Nashik - MPCB"
5593,"Pimpleshwar Mandir, Thane - MPCB"
5594,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
5596,"Secretariat, Amaravati - APPCB"
5598,"Sector - 125, Noida, UP - UPPCB"
5599,"Bollaram Industrial Area, Hyderabad - TSPCB"
5601,"Lajpat Nagar, Moradabad - UPPCB"
5602,"Asansol Court Area, Asansol - WBPCB"
5603,"Sector-2 Industrial Area, Pithampur - MPPCB"
5604,"Nishant Ganj, Lucknow - UPPCB"
5607,"Peenya, Bengaluru - CPCB"
5608,"GM Office, Brajrajnagar - OSPCB"
5609,"Anam Kala Kendram, Rajamahendravaram - APPCB"
5610,"North Campus, DU, Delhi - IMD"
5611,"Chandrapur, Chandrapur - MPCB"
5612,"Shastri Nagar, Jaipur - RSPCB"
5613,"ITO, New Delhi - CPCB"
5614,"Padmapukur, Howrah - WBPCB"
5615,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
5616,"Sector - 62, Noida, UP - IMD"
5617,"Sector- 16A, Faridabad - HSPCB"
5619,"Vindhyachal STPS, Singrauli - MPPCB"
5621,"Opp GPO Civil Lines, Nagpur - MPCB"
5622,"NSIT Dwarka, Delhi - CPCB"
5623,"Central University, Hyderabad - TSPCB"
5624,"IDA Pashamylaram, Hyderabad - TSPCB"
5625,"RIMT University, Mandi Gobindgarh - PPCB"
5626,"DTU, New Delhi - CPCB"
5627,"CRRI Mathura Road, New Delhi - IMD"
5628,"GVM Corporation, Visakhapatnam - APPCB"
5630,"Shadipur, Delhi - CPCB"
5631,"Maninagar, Ahmedabad - GPCB"
5632,"Sector-D Industrial Area, Mandideep - MPPCB"
5633,"Police Commissionerate, Jaipur - RSPCB"
5634,"Lodhi Road, New Delhi - IMD"
5635,"Adarsh Nagar, Jaipur - RSPCB"
5636,"Shrinath Puram, Kota - RSPCB"
5638,"Indira Colony Vistar, Pali - RSPCB"
5639,"R K Puram, New Delhi - DPCC"
5641,"Mandir Marg, New Delhi - DPCC"
5642,"More Chowk Waluj, Aurangabad - MPCB"
5644,"Sanegurava Halli, Bengaluru - KSPCB"
5645,"ICRISAT Patancheru, Hyderabad - TSPCB"
5646,"Plammoodu, Thiruvananthapuram - Kerala PCB"
5647,"Sanathnagar, Hyderabad - TSPCB"
5648,"Ward-32 Bapupara, Siliguri - WBPCB"
5649,"Tirumala, Tirupati - APPCB"
5650,"IGI Airport (T3), Delhi - IMD"
5652,"IGSC Planetarium Complex, Patna - BSPCB"
5655,"Velachery Res. Area, Chennai - CPCB"
5657,"Central School, Lucknow - CPCB"
5659,"Lalbagh, Lucknow - CPCB"
5661,"Karve Road Pune, Pune - MPCB"
5662,"Nehru Nagar, Kanpur - UPPCB"
5664,"PWD Grounds, Vijayawada - APPCB"
5665,"Vasundhara, Ghaziabad - UPPCB"
5667,"Bhopal Chauraha, Dewas - MPPCB"
5742,"Patparganj, Delhi - DPCC"
5743,"Rohini, Delhi - DPCC"
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
5745,"Ghusuri, Howrah - WBPCB"
5753,"Vivek Vihar, Delhi - DPCC"
5754,"Jawaharlal Nehru Stadium, Delhi - DPCC"
